serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
748,b05a6f83-dfa4-4762-82c5-be3607271645,Meetup 0748 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for a meetup on AI & Data Analytics Careers.,12/31/2020 18:00,12/31/2020 21:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,149,0,104,97,3.61
749,f9b80e91-ccc6-46ea-9170-60d2492ff852,Webinar 0749 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,11/12/2020 18:00,11/12/2020 20:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,788,1,447,395,3.59
750,146b8438-61e8-4a47-8e08-7ceb94c68be5,Hackathon 0750 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,11/27/2020 14:00,11/27/2020 16:00,America/Los_Angeles,Virtual,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,203,1,68,58,3.9
751,48cc58fe-ce97-48f2-921b-4d1bb3af1b9b,Guest Lecture 0751 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for a guest lecture on Resume & Interview Mastery.,05/03/2024 10:00,05/03/2024 18:00,America/New_York,Hybrid,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,266,1,113,104,4.58
752,221efb10-cbba-4c45-9010-1af9497650d6,Webinar 0752 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,07/22/2020 14:00,07/22/2020 22:00,America/Chicago,Virtual,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,425,1,297,262,4.57
753,fea52576-4085-4e8d-88e0-75aba676e488,Webinar 0753 • Cybersecurity Trends,Webinar,Cybersecurity Trends,Join us for a webinar on Cybersecurity Trends.,02/13/2021 18:00,02/14/2021 02:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,361,1,175,151,4.12
754,504b5733-7235-4e5e-8fae-f700de3427ec,Career Fair 0754 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,08/05/2021 14:00,08/05/2021 22:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,1173,1,744,738,4.33
755,1e8c5731-a262-45e7-b6b6-0081614e3bf3,Workshop 0755 • Graduate School Pathways,Workshop,Graduate School Pathways,Join us for a workshop on Graduate School Pathways.,06/09/2024 14:00,06/09/2024 18:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,200,1,108,87,3.93
756,1a59564b-6840-47e4-b8bc-d6e5a32b4a1b,Networking Night 0756 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,10/25/2020 14:00,10/25/2020 15:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,329,0,131,126,3.59
757,a2da56cd-803b-470d-8b44-547975deacaa,Guest Lecture 0757 • Tech for Good,Guest Lecture,Tech for Good,Join us for a guest lecture on Tech for Good.,09/16/2021 10:00,09/16/2021 12:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,164,1,54,34,4.37
758,08f27828-e62b-4f34-ac3e-0781a9e5b539,Meetup 0758 • Networking with Employers,Meetup,Networking with Employers,Join us for a meetup on Networking with Employers.,12/27/2025 10:00,12/27/2025 12:00,America/Chicago,Virtual,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,149,1,65,62,4.42
759,228a2a83-bb0f-43aa-8c64-33e09f266d95,Workshop 0759 • Networking with Employers,Workshop,Networking with Employers,Join us for a workshop on Networking with Employers.,09/09/2024 14:00,09/09/2024 18:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,175,1,167,108,4.9
760,72f19906-80a2-4612-b5c7-f99111b5c23b,Hackathon 0760 • Networking with Employers,Hackathon,Networking with Employers,Join us for a hackathon on Networking with Employers.,05/19/2023 14:00,05/19/2023 17:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,193,1,150,125,5.0
761,1cd73b77-f7a2-4634-b6cc-6fc3b2b5978d,Workshop 0761 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,08/14/2023 14:00,08/14/2023 16:00,America/Chicago,Hybrid,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,101,1,88,72,4.27
762,94a7d340-af6a-4bad-89a1-9f3bcead3f8f,Meetup 0762 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,06/21/2020 18:00,06/21/2020 20:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,235,0,224,191,4.36
763,44a575ee-3c13-4143-a98a-647acdfc979e,Career Fair 0763 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,01/26/2023 18:00,01/27/2023 00:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,822,1,717,524,3.74
764,ff307d83-179c-49b9-adcc-0d4182ec5e3c,Career Fair 0764 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,03/04/2025 10:00,03/04/2025 14:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,975,1,329,205,4.87
765,400302b9-61eb-46a3-9d6e-b5a7deb5f558,Networking Night 0765 • Entrepreneurship,Networking Night,Entrepreneurship,Join us for a networking night on Entrepreneurship.,09/18/2022 10:00,09/18/2022 18:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,354,1,203,200,4.71
766,a131e464-7bbc-4822-89ab-d076d353359a,Guest Lecture 0766 • Graduate School Pathways,Guest Lecture,Graduate School Pathways,Join us for a guest lecture on Graduate School Pathways.,07/12/2024 14:00,07/12/2024 20:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,258,1,94,70,4.83
767,0aecf0a0-9fc0-4da4-a466-6bf4b0198d63,Guest Lecture 0767 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,05/26/2020 14:00,05/26/2020 16:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,90,1,57,36,4.1
768,d6ab923c-56e0-42ba-9b92-65d1315b794a,Meetup 0768 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for a meetup on AI & Data Analytics Careers.,09/17/2025 10:00,09/17/2025 11:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,124,1,97,63,4.09
769,f1dab56e-891a-4e14-bd9e-fa15c8b5de44,Webinar 0769 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,11/26/2025 10:00,11/26/2025 18:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,344,1,334,224,3.91
770,e848addd-e8a5-4267-a346-e77391406f0b,Webinar 0770 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,10/17/2024 10:00,10/17/2024 16:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,383,1,183,121,3.85
771,8241ec01-893f-4d0a-a77c-d762a76a2412,Webinar 0771 • Cybersecurity Trends,Webinar,Cybersecurity Trends,Join us for a webinar on Cybersecurity Trends.,10/10/2026 18:00,10/10/2026 20:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,429,1,171,165,4.32
772,1440a031-869d-407b-89f7-e29cbbd6785f,Career Fair 0772 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for a career fair on Cloud & DevOps Pathways.,06/25/2024 10:00,06/25/2024 18:00,America/Los_Angeles,Virtual,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,1409,1,1264,993,4.76
773,31713fff-6d6d-43be-9f5e-3d3143684c21,Hackathon 0773 • Resume & Interview Mastery,Hackathon,Resume & Interview Mastery,Join us for a hackathon on Resume & Interview Mastery.,10/27/2022 10:00,10/27/2022 13:00,America/Chicago,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,312,1,113,97,4.87
774,df9127d4-5899-4bea-9d18-b5e6f2af4367,Panel 0774 • Entrepreneurship,Panel,Entrepreneurship,Join us for a panel on Entrepreneurship.,04/21/2026 14:00,04/21/2026 22:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,101,1,56,55,3.87
775,a3e8ed6f-d34e-4798-bcc1-603386fd8989,Panel 0775 • Cloud & DevOps Pathways,Panel,Cloud & DevOps Pathways,Join us for a panel on Cloud & DevOps Pathways.,07/31/2021 18:00,07/31/2021 22:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,195,1,139,103,3.69
776,1146e387-b566-4d9e-bedf-9794edcdddad,Webinar 0776 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for a webinar on AI & Data Analytics Careers.,08/16/2021 14:00,08/16/2021 15:00,America/Los_Angeles,Virtual,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,344,1,252,170,4.25
777,db82ecc7-b7cc-4860-a145-aa6b99e46f34,Hackathon 0777 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,05/06/2026 10:00,05/06/2026 12:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,238,1,84,81,3.7
778,ab4b2053-a1ed-4039-8786-a620b7ed4deb,Webinar 0778 • Tech for Good,Webinar,Tech for Good,Join us for a webinar on Tech for Good.,07/22/2025 18:00,07/22/2025 19:00,America/New_York,In-person,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,532,1,431,360,3.85
779,d14b5d95-b95c-4561-8bdc-e2eadd0ed302,Networking Night 0779 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,10/23/2025 18:00,10/23/2025 20:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,163,1,159,146,4.1
780,8672ba29-6ce8-403b-9cfd-36515207a192,Panel 0780 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,03/28/2023 14:00,03/28/2023 16:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,215,1,174,159,3.54
781,280c5b10-953a-4257-bdea-7a2d05ca6b78,Guest Lecture 0781 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,10/27/2026 10:00,10/27/2026 12:00,America/Los_Angeles,Virtual,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,269,1,133,120,4.11
782,cce8f426-a4c6-430f-864e-4a90b3d78e91,Workshop 0782 • Consulting Case Prep,Workshop,Consulting Case Prep,Join us for a workshop on Consulting Case Prep.,05/21/2023 14:00,05/21/2023 22:00,America/Chicago,Hybrid,Global Webinar Room,Online,NA,USA,Alumni Office,alumni@slu.edu,151,1,71,45,3.98
783,882789cc-2de0-4962-9973-e3cd36e94cec,Career Fair 0783 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for a career fair on Cloud & DevOps Pathways.,04/11/2020 10:00,04/11/2020 13:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,1310,1,612,515,4.74
784,112855f9-ab45-44ef-81e8-fb067b2c44e9,Career Fair 0784 • Cybersecurity Trends,Career Fair,Cybersecurity Trends,Join us for a career fair on Cybersecurity Trends.,07/21/2023 10:00,07/21/2023 18:00,America/New_York,Hybrid,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,1360,0,807,628,4.53
785,aa8fc984-cccb-465b-88b4-934b092fa8b3,Workshop 0785 • Entrepreneurship,Workshop,Entrepreneurship,Join us for a workshop on Entrepreneurship.,06/08/2022 18:00,06/08/2022 20:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,54,1,54,47,4.23
786,e2b96d4e-095c-49f8-af28-59b74b461ab3,Meetup 0786 • Graduate School Pathways,Meetup,Graduate School Pathways,Join us for a meetup on Graduate School Pathways.,09/11/2024 18:00,09/12/2024 00:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,138,1,67,66,4.35
787,b4c5eef3-1add-40bc-89d9-cc92e809fe1e,Workshop 0787 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,01/16/2022 14:00,01/16/2022 18:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,90,1,84,80,4.9
788,b7fef2e7-e762-4163-a57f-00d79b2fe448,Webinar 0788 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,06/27/2020 18:00,06/27/2020 19:00,America/New_York,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,535,1,535,534,3.82
789,264f6c66-f372-485b-ab89-9435298cf773,Guest Lecture 0789 • Networking with Employers,Guest Lecture,Networking with Employers,Join us for a guest lecture on Networking with Employers.,09/08/2022 18:00,09/08/2022 19:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,205,1,190,180,3.72
790,086e7d13-14f8-4612-81c0-a0bb025c2382,Webinar 0790 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,11/10/2025 10:00,11/10/2025 12:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,389,1,274,177,4.97
791,839f04ba-afb6-4871-8a6f-d25ef6b9d0e0,Hackathon 0791 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,03/29/2022 14:00,03/29/2022 16:00,America/New_York,Hybrid,Global Webinar Room,Online,NA,USA,Data Science Institute,dsi@slu.edu,376,1,267,246,3.94
792,869bc598-eb30-4fc4-bad0-a083a6b30233,Panel 0792 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,03/17/2024 14:00,03/17/2024 20:00,America/Los_Angeles,In-person,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,184,1,144,126,3.72
793,a722189b-2c04-4f15-b3c2-0b359458e7f7,Webinar 0793 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,07/20/2020 10:00,07/20/2020 14:00,America/Chicago,Virtual,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,719,1,465,316,4.62
794,d9bd385d-e994-4d10-aff4-68edf191867f,Hackathon 0794 • AI & Data Analytics Careers,Hackathon,AI & Data Analytics Careers,Join us for a hackathon on AI & Data Analytics Careers.,07/07/2023 10:00,07/07/2023 16:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,210,1,134,110,4.31
795,55cb19e2-fe7a-4baf-9881-15bccbc2e3be,Webinar 0795 • Tech for Good,Webinar,Tech for Good,Join us for a webinar on Tech for Good.,10/18/2024 10:00,10/18/2024 12:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,759,1,564,453,3.86
796,9f44483a-78ad-4668-a40b-88ff670905cb,Networking Night 0796 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,06/04/2024 10:00,06/04/2024 11:00,America/New_York,In-person,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,320,1,304,296,3.61
797,2cde2a47-d2d2-439c-b342-ed499d710012,Meetup 0797 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for a meetup on Resume & Interview Mastery.,02/19/2022 14:00,02/19/2022 18:00,America/Chicago,Hybrid,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,109,1,97,96,4.9
798,0497e0c5-ef88-4641-abc4-345bc690ec40,Hackathon 0798 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,01/11/2026 10:00,01/11/2026 14:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,209,1,106,105,4.91
799,2b6f866e-d94b-401d-ab38-807454cb1de7,Webinar 0799 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,04/19/2020 14:00,04/19/2020 17:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,598,1,321,247,4.78
800,d5eb5095-c2c9-4a9a-9ec9-1c661e519e8a,Webinar 0800 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,06/22/2021 14:00,06/22/2021 17:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,385,1,348,237,3.96
801,76e65a26-9f03-48ca-b588-7ad45e21f64d,Networking Night 0801 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,05/26/2024 14:00,05/26/2024 20:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,316,1,312,235,4.72
802,f640632d-a69f-4caa-a7f6-f838fdefd380,Hackathon 0802 • Resume & Interview Mastery,Hackathon,Resume & Interview Mastery,Join us for a hackathon on Resume & Interview Mastery.,06/26/2022 10:00,06/26/2022 12:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,376,1,134,106,4.31
803,8a36b5d5-1b19-40f4-8307-d4a27b9258c2,Panel 0803 • AI & Data Analytics Careers,Panel,AI & Data Analytics Careers,Join us for a panel on AI & Data Analytics Careers.,08/26/2025 18:00,08/26/2025 21:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,89,1,86,72,4.98
804,581ef95e-67de-460b-b47b-f757b80f5795,Hackathon 0804 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,04/09/2022 18:00,04/09/2022 20:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,234,1,161,158,4.45
805,68d889f8-9bb9-47ff-9289-376b50bd2d5f,Guest Lecture 0805 • Resume & Interview Mastery,Guest Lecture,Resume & Interview Mastery,Join us for a guest lecture on Resume & Interview Mastery.,12/03/2024 18:00,12/03/2024 22:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,286,1,219,154,4.77
806,82e70572-8ee2-4953-9e88-e0c6d9e59434,Meetup 0806 • Networking with Employers,Meetup,Networking with Employers,Join us for a meetup on Networking with Employers.,01/07/2026 18:00,01/07/2026 21:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,52,1,46,42,4.86
807,c6cb5663-1b96-4764-a8d6-a451d331108f,Career Fair 0807 • Product & Project Management,Career Fair,Product & Project Management,Join us for a career fair on Product & Project Management.,09/08/2026 14:00,09/08/2026 15:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,1021,0,568,444,4.79
808,7d9e1cd3-bd55-4c49-94d6-73862cef812f,Guest Lecture 0808 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for a guest lecture on Cloud & DevOps Pathways.,12/17/2022 18:00,12/17/2022 19:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,234,1,230,182,4.46
809,81ad4a06-1259-4fa2-895c-1f76dee6577a,Networking Night 0809 • Product & Project Management,Networking Night,Product & Project Management,Join us for a networking night on Product & Project Management.,02/02/2023 10:00,02/02/2023 18:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,302,0,101,74,4.06
810,97255095-313b-47f1-807d-024e177f9b48,Webinar 0810 • Product & Project Management,Webinar,Product & Project Management,Join us for a webinar on Product & Project Management.,11/11/2020 18:00,11/12/2020 00:00,America/Chicago,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,722,1,654,571,3.93
811,f82c8d0b-519d-4a2b-9d83-927e058d42b3,Meetup 0811 • Networking with Employers,Meetup,Networking with Employers,Join us for a meetup on Networking with Employers.,03/07/2024 18:00,03/08/2024 02:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,207,1,104,67,3.52
812,19de01ed-b5f1-4dc9-b25a-7fef95ecb01b,Panel 0812 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,11/25/2026 18:00,11/25/2026 21:00,America/Chicago,Virtual,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,177,1,84,77,3.81
813,e80b7b77-a05a-4bc4-8fae-fe9ea292bc6f,Meetup 0813 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,12/08/2022 10:00,12/08/2022 12:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,156,0,148,104,4.14
814,15bfb376-34af-4cbc-a2d5-e0d5e2841b02,Guest Lecture 0814 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for a guest lecture on Cloud & DevOps Pathways.,06/24/2024 14:00,06/24/2024 17:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,95,1,57,35,4.91
815,95500a75-f521-4801-bcf9-cea03809b5b4,Panel 0815 • Cloud & DevOps Pathways,Panel,Cloud & DevOps Pathways,Join us for a panel on Cloud & DevOps Pathways.,03/08/2026 10:00,03/08/2026 14:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,148,1,59,49,3.84
816,0c18797a-a200-4bb5-9204-279f22af071e,Career Fair 0816 • Resume & Interview Mastery,Career Fair,Resume & Interview Mastery,Join us for a career fair on Resume & Interview Mastery.,06/19/2023 18:00,06/19/2023 19:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,613,0,550,543,3.58
817,10ecb70a-4856-49a6-804f-08c78827a0dc,Guest Lecture 0817 • Product & Project Management,Guest Lecture,Product & Project Management,Join us for a guest lecture on Product & Project Management.,12/05/2025 10:00,12/05/2025 16:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,213,1,178,121,4.04
818,c0c91525-7ee1-4c2f-a9fb-a99c15e43be7,Guest Lecture 0818 • Tech for Good,Guest Lecture,Tech for Good,Join us for a guest lecture on Tech for Good.,12/17/2024 14:00,12/17/2024 15:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,125,1,66,40,4.45
819,5f1b2300-d00f-444c-a625-214eb1f73313,Meetup 0819 • Entrepreneurship,Meetup,Entrepreneurship,Join us for a meetup on Entrepreneurship.,07/18/2021 14:00,07/18/2021 17:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,51,1,38,34,3.74
820,1009b54b-d270-44ec-93ed-efaa33fbec4d,Panel 0820 • Cloud & DevOps Pathways,Panel,Cloud & DevOps Pathways,Join us for a panel on Cloud & DevOps Pathways.,11/28/2026 18:00,11/28/2026 22:00,America/Los_Angeles,In-person,Chaifetz Arena,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,153,1,85,65,4.82
821,ecf363d7-f128-4e8f-9e58-c864a4acaa3f,Career Fair 0821 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,09/20/2020 18:00,09/20/2020 20:00,America/Los_Angeles,Hybrid,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,641,0,566,552,4.16
822,404b8b37-abaa-4d0d-975d-36eb3273680c,Workshop 0822 • Networking with Employers,Workshop,Networking with Employers,Join us for a workshop on Networking with Employers.,12/16/2026 18:00,12/16/2026 22:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,149,1,78,72,4.7
823,49f8e4d5-e850-41ea-b4a3-0eb3f923b654,Career Fair 0823 • Cybersecurity Trends,Career Fair,Cybersecurity Trends,Join us for a career fair on Cybersecurity Trends.,02/18/2023 14:00,02/18/2023 17:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,720,1,646,538,4.72
824,b536fc81-4e37-4ccf-a0a5-f3f0bf40122c,Networking Night 0824 • Consulting Case Prep,Networking Night,Consulting Case Prep,Join us for a networking night on Consulting Case Prep.,03/06/2026 10:00,03/06/2026 18:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,217,0,166,115,3.86
825,6a11ead5-a67f-4176-88f2-aeb5256f1faa,Workshop 0825 • Consulting Case Prep,Workshop,Consulting Case Prep,Join us for a workshop on Consulting Case Prep.,04/30/2024 14:00,04/30/2024 17:00,America/Chicago,In-person,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,59,1,29,24,4.58
826,fc76d198-e8ad-4b61-9f20-2e9bc147d48d,Meetup 0826 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,06/29/2020 14:00,06/29/2020 18:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,237,1,77,48,3.9
827,cb93d867-f718-4ba5-a6aa-dc00f378bd03,Career Fair 0827 • AI & Data Analytics Careers,Career Fair,AI & Data Analytics Careers,Join us for a career fair on AI & Data Analytics Careers.,11/26/2021 18:00,11/26/2021 20:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,1295,0,733,615,3.54
828,e32e1a8e-b3d0-43d2-bd21-7d50a7ed93e0,Meetup 0828 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,10/18/2025 18:00,10/19/2025 02:00,America/New_York,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,77,0,38,34,3.77
