serial_no,job_id,student_id,employer_id,job_title,job_family,job_level,job_type,employment_mode,location_city,location_state,location_country,offer_date,offer_accept_date,start_date,end_date,salary_currency,salary_base_annual,visa_type,source_channel,created_at
769,ef6435e4-8c86-4655-8541-4a38a1e489ad,e22cd7b3-924f-45b5-ba10-86048e053c1e,EMP000769,Security Analyst,Quality,Intern,Internship,Remote,Chicago,IL,USA,12/06/2021,12/07/2021,06/13/2022,04/04/2024,USD,125101.0,Citizen,Handshake,2025-10-25
770,9b500191-0a0c-40fc-b432-3e8d498d146d,1c73a006-143f-4901-a698-6d7514165c36,EMP000770,ML Engineer,Product,Intern,Contract,On-site,Bengaluru,NA,India,10/20/2024,10/27/2024,04/24/2025,10/15/2026,USD,130629.0,H1B,Career Fair,2025-10-25
771,6c32e9db-eed0-4ff4-84da-e6a5c737e3cc,f09f33f1-8988-4c5b-b3d5-b1a60fc39342,EMP000771,Cloud Engineer,Analytics,Junior,Internship,Hybrid,Bengaluru,NA,India,04/02/2025,04/03/2025,09/11/2025,12/01/2026,USD,103482.0,H1B,LinkedIn,2025-10-25
772,9a8e1221-145a-40cb-870a-767927991a5e,a750ca70-f1df-4352-bbca-73a96476c0e3,EMP000772,Software Engineer,Analytics,Mid,Contract,Remote,Boston,MA,USA,12/20/2020,01/01/2021,09/12/2021,10/04/2022,USD,111249.0,Citizen,Handshake,2025-10-25
773,83fd457e-9e4e-4c48-962c-69faadbffb2f,26129467-651b-4132-8cc1-79cf58f3be6c,EMP000773,Software Engineer,Analytics,Senior,Full-time,Remote,Seattle,WA,USA,11/15/2025,11/22/2025,05/15/2026,12/31/2026,USD,117123.0,H1B,Career Fair,2025-10-25
774,3921b4ea-3651-4baf-bfe8-ead463ed87a0,f806956b-7463-41f8-9cf6-17e3ba95e9a3,EMP000774,Security Analyst,Security,Junior,Contract,Hybrid,Bengaluru,NA,India,03/22/2025,03/29/2025,08/25/2025,12/31/2026,USD,101195.0,H1B,Career Fair,2025-10-25
775,2fb42e9f-5a66-41ef-bde4-7c6ef96d1e98,8ae49c44-bd68-4f71-89c1-b8b187ebbe27,EMP000775,ML Engineer,Consulting,Senior,Contract,Remote,Austin,TX,USA,03/15/2026,03/26/2026,08/28/2026,12/31/2026,USD,96016.0,OPT,Career Fair,2025-10-25
776,6a1a333c-98e7-46f3-81b7-6d9a41d8bf96,d36d0163-d3e0-4dca-ba94-b7073e2aded4,EMP000776,Data Engineer,Analytics,Junior,Internship,On-site,St. Louis,MO,USA,08/02/2024,08/02/2024,11/20/2024,11/12/2026,USD,102755.0,OPT,Direct Apply,2025-10-25
777,0a5ace07-e2ed-401e-be34-4e53caeecc3e,27c61405-cffc-48ba-84f6-8c4b2dddfb90,EMP000777,Security Analyst,Consulting,Intern,Full-time,Hybrid,Dallas,TX,USA,05/20/2023,05/23/2023,08/21/2023,05/28/2025,USD,113336.0,OPT,Career Fair,2025-10-25
778,aedc8394-7dde-4765-b02d-feaf2a050122,88faf459-2402-4bcd-a4b1-fbf54204bfac,EMP000778,Product Analyst,Quality,Intern,Internship,On-site,Hyderabad,NA,India,12/10/2020,12/10/2020,04/18/2021,02/28/2023,USD,112573.0,PR,Referral,2025-10-25
779,677792af-1c79-40eb-991d-a27f2dd1e139,726e4af6-1671-47fe-9a6f-f82efc383974,EMP000779,Cloud Engineer,Analytics,Intern,Contract,Hybrid,Bengaluru,NA,India,04/07/2025,04/14/2025,08/10/2025,11/04/2026,USD,101038.0,OPT,Handshake,2025-10-25
780,4570c222-3cd5-40cd-b3c1-e9ecea16cc17,06f08d4a-356b-45c4-b1e6-0716ced2ad58,EMP000780,Software Engineer,Product,Junior,Internship,Hybrid,New York,NY,USA,08/12/2025,08/26/2025,12/13/2025,12/31/2026,USD,114440.0,STEM OPT,Referral,2025-10-25
781,c93d2595-1b49-43fb-84f3-62d8a72e5eba,04de2b91-7a4f-47b9-91a1-cd4d70d8f43d,EMP000781,Data Analyst,Engineering,Senior,Contract,On-site,New York,NY,USA,08/28/2024,08/29/2024,12/02/2024,08/24/2026,USD,113187.0,H1B,Direct Apply,2025-10-25
782,45cec092-93cb-4bd2-9571-5477dac54b48,c06c1f06-97b7-4a29-93fd-b033bf59fe47,EMP000782,QA Engineer,Consulting,Junior,Internship,Hybrid,St. Louis,MO,USA,03/27/2026,03/28/2026,10/20/2026,12/31/2026,USD,106183.0,PR,Referral,2025-10-25
783,8150922a-8903-4e5d-a0b3-abc65eb64675,d613c442-4064-4432-9043-98f67f757580,EMP000783,Data Analyst,Engineering,Junior,Contract,On-site,New York,NY,USA,05/14/2023,05/25/2023,10/26/2023,03/23/2025,USD,131624.0,PR,Direct Apply,2025-10-25
784,5a92cfdc-e125-4735-8b46-0833167f02d1,0a9592c1-8574-4443-9500-1152fe276a24,EMP000784,QA Engineer,Security,Intern,Internship,Hybrid,Bengaluru,NA,India,03/26/2024,03/29/2024,11/27/2024,03/02/2026,USD,107475.0,OPT,Referral,2025-10-25
785,1f327933-1109-41c8-866c-e790916233ea,48e257d2-57c6-400e-abd2-f1f5a8fb1bd5,EMP000785,Product Analyst,Engineering,Mid,Full-time,Hybrid,Boston,MA,USA,11/16/2022,11/22/2022,06/11/2023,06/12/2024,USD,101611.0,OPT,Handshake,2025-10-25
786,3f026b62-de5a-4e93-9921-22622a5af795,0308f041-9a17-44aa-a22e-0d293c296fb6,EMP000786,Security Analyst,Product,Junior,Full-time,Hybrid,Hyderabad,NA,India,03/20/2024,03/28/2024,08/24/2024,08/17/2026,USD,110347.0,STEM OPT,LinkedIn,2025-10-25
787,230e1c94-c899-4138-9b44-fee28e7306b1,4d253258-9353-43be-8881-f4ea91374821,EMP000787,Security Analyst,Security,Mid,Contract,On-site,Chicago,IL,USA,09/10/2024,09/24/2024,12/08/2024,02/03/2026,USD,85861.0,OPT,Career Fair,2025-10-25
788,11d5c66d-aff3-437e-9d0c-e829d324e7c7,b87de1ad-cdb0-4f13-b60c-c28e1ff84ee9,EMP000788,Product Analyst,Quality,Junior,Internship,On-site,Bengaluru,NA,India,06/25/2024,06/28/2024,11/21/2024,07/04/2026,USD,107426.0,STEM OPT,Career Fair,2025-10-25
789,291ceabb-335a-40dc-b0aa-4a0cdde71e5f,b5111a4f-4549-4fc0-8a73-6c0243325dcd,EMP000789,Associate Consultant,Security,Intern,Contract,Remote,Seattle,WA,USA,03/12/2021,03/14/2021,05/01/2021,06/24/2022,USD,109798.0,OPT,Handshake,2025-10-25
790,47e3f11e-cb3e-49f1-b4d9-8e0bb620e49f,9a318474-029e-4a1d-aa8c-43d781f978b7,EMP000790,ML Engineer,Engineering,Junior,Full-time,Hybrid,New York,NY,USA,04/11/2022,04/23/2022,11/08/2022,01/23/2024,USD,105177.0,PR,Direct Apply,2025-10-25
791,8de31d75-be28-4a31-aa71-51a39029ad72,9a379abc-155b-48d6-a38f-d133be21c637,EMP000791,Product Analyst,Engineering,Senior,Internship,On-site,Dallas,TX,USA,02/27/2023,03/05/2023,06/05/2023,10/11/2024,USD,112723.0,STEM OPT,LinkedIn,2025-10-25
792,870e2f6b-86ad-425a-8f67-fbd5ebf21525,020ba52f-bdbf-4341-a490-7166b4ebf0e7,EMP000792,QA Engineer,Consulting,Senior,Full-time,On-site,Austin,TX,USA,06/24/2025,06/26/2025,10/31/2025,12/08/2026,USD,110744.0,OPT,Direct Apply,2025-10-25
793,8e4b8f3f-102a-4180-b6ab-6062bafe37a7,0b9bd122-c4cb-461c-92b4-798115aecddf,EMP000793,Product Analyst,Consulting,Senior,Internship,On-site,Boston,MA,USA,08/24/2025,09/04/2025,11/24/2025,12/31/2026,USD,107770.0,OPT,Handshake,2025-10-25
794,17dbc21e-1226-44c5-88ae-1fac6a17172f,2bb61f84-1fa1-4a44-a381-398eb6cdbafa,EMP000794,ML Engineer,Security,Mid,Full-time,On-site,St. Louis,MO,USA,01/12/2024,01/16/2024,04/26/2024,04/04/2026,USD,123666.0,Citizen,LinkedIn,2025-10-25
795,10eec6bf-6a57-4f7c-8564-b7796a4230bc,01f06692-9a19-46d2-8df2-7d88d0485f89,EMP000795,Associate Consultant,Security,Junior,Contract,Hybrid,Bengaluru,NA,India,05/17/2022,05/19/2022,09/06/2022,06/19/2024,USD,124818.0,Citizen,Handshake,2025-10-25
796,80c4abbb-3463-4c40-aaca-ddc43ff10896,a7604033-4edf-49a3-972c-edf7f17757d2,EMP000796,Software Engineer,Analytics,Senior,Internship,Hybrid,St. Louis,MO,USA,07/30/2026,08/12/2026,10/31/2026,12/31/2026,USD,126139.0,PR,Direct Apply,2025-10-25
797,27868ce8-ba48-4e92-b53b-cb172ddaed2b,aec736eb-5fe4-4b2e-ab92-2a2333d802cd,EMP000797,Business Analyst,Consulting,Intern,Contract,Remote,Dallas,TX,USA,02/28/2022,03/08/2022,07/23/2022,04/30/2024,USD,131539.0,Citizen,Direct Apply,2025-10-25
798,7ab84006-fa5b-453f-b3aa-1cea362a83a4,50b57674-de36-46ec-ab88-d2d344e25ee9,EMP000798,Associate Consultant,Analytics,Junior,Full-time,Remote,Chicago,IL,USA,11/20/2025,12/02/2025,05/12/2026,12/31/2026,USD,113241.0,PR,Direct Apply,2025-10-25
799,8d9a2576-ae93-4612-af1d-87d6d2745c19,cf6d00c2-3c04-4512-84ae-d3887224ba20,EMP000799,Business Analyst,Analytics,Junior,Internship,Remote,Seattle,WA,USA,11/07/2021,11/18/2021,06/02/2022,10/21/2023,USD,124552.0,PR,Handshake,2025-10-25
800,fa8d0936-d2a2-4665-892a-dea9cfde1313,1924fade-d50e-4813-8141-ef6e137388b7,EMP000800,Data Analyst,Analytics,Mid,Full-time,Remote,Dallas,TX,USA,07/23/2024,07/24/2024,10/24/2024,05/12/2026,USD,109435.0,H1B,Handshake,2025-10-25
801,21ee7d22-1d18-4bdb-a31a-b438c1bba1ae,b96b4d51-5e7e-4cc4-9713-7d47bc508075,EMP000801,ML Engineer,Analytics,Junior,Full-time,On-site,Chicago,IL,USA,03/18/2023,03/19/2023,07/16/2023,11/28/2024,USD,136123.0,Citizen,Direct Apply,2025-10-25
802,2c1cc417-04d3-4291-9cea-990b98d0dd26,5c7fcdf3-d3b1-48ce-a3a8-3741d615f217,EMP000802,Software Engineer,Quality,Senior,Full-time,Hybrid,Seattle,WA,USA,02/27/2023,03/04/2023,07/23/2023,06/23/2025,USD,106422.0,Citizen,Career Fair,2025-10-25
803,af2d1e39-5025-40d4-b5b4-cf007956059b,12e70426-7660-4801-9cdc-5350387c80cd,EMP000803,QA Engineer,Consulting,Mid,Contract,Remote,Dallas,TX,USA,08/13/2022,08/20/2022,12/12/2022,09/22/2024,USD,105825.0,OPT,Direct Apply,2025-10-25
804,4970b17c-bc29-4c9e-938f-02e5919907f9,dd946867-6fc5-4c4d-a3d2-c077d3f07597,EMP000804,Cloud Engineer,Engineering,Intern,Contract,Remote,Seattle,WA,USA,10/24/2021,10/28/2021,05/31/2022,05/05/2024,USD,129332.0,PR,Referral,2025-10-25
805,daf32d05-2640-4a1c-b42f-2b8ad63c583b,351e3186-a038-47ef-84fa-f9e04b75878a,EMP000805,QA Engineer,Analytics,Mid,Full-time,Remote,Dallas,TX,USA,02/28/2025,03/13/2025,08/20/2025,12/31/2026,USD,115741.0,STEM OPT,Career Fair,2025-10-25
806,c0e5d5e0-ce01-4f88-9d3a-aca6a14c2826,77e8a72e-b918-49f5-9045-2fdbe2866bfd,EMP000806,Business Analyst,Engineering,Mid,Full-time,Remote,Boston,MA,USA,04/08/2026,04/11/2026,11/02/2026,12/31/2026,USD,96604.0,OPT,Referral,2025-10-25
807,6cd777cf-ccf3-44ba-aeec-45bc61dd8fc8,48002fa4-bdab-44e3-944e-10ddcc8a69a1,EMP000807,Security Analyst,Analytics,Mid,Internship,On-site,Austin,TX,USA,05/04/2024,05/07/2024,12/07/2024,10/01/2026,USD,111173.0,PR,Career Fair,2025-10-25
808,60a0aa9f-da7c-4a3d-a26c-30246daa9c11,a9652c27-9c6d-4f4e-b584-79099977c480,EMP000808,Product Analyst,Product,Senior,Contract,Hybrid,St. Louis,MO,USA,01/11/2024,01/20/2024,09/11/2024,02/23/2026,USD,111841.0,OPT,Handshake,2025-10-25
809,7e65aa8b-c544-44d3-b980-fb546174ab7c,631a2b1c-c15a-4138-b703-829861e399ee,EMP000809,Data Analyst,Security,Junior,Contract,Hybrid,Dallas,TX,USA,04/16/2023,04/17/2023,10/29/2023,01/27/2025,USD,117302.0,OPT,LinkedIn,2025-10-25
810,fca9c59f-310b-4da0-9b51-df16557b6117,e4a1d06c-9a42-45eb-920f-d8a16d3a0520,EMP000810,Associate Consultant,Analytics,Mid,Contract,Hybrid,St. Louis,MO,USA,05/22/2022,05/30/2022,10/25/2022,12/28/2023,USD,85245.0,OPT,Referral,2025-10-25
811,43afd77f-5c4b-4748-a39f-f00ad37538cd,7ff0bf00-6dbe-4bf0-a0e4-ff479eb948b3,EMP000811,Data Analyst,Product,Mid,Internship,Hybrid,Hyderabad,NA,India,01/18/2026,01/29/2026,05/03/2026,12/31/2026,USD,94280.0,OPT,LinkedIn,2025-10-25
812,881167e2-3026-4cb9-b257-ea5112ebe6b5,334f2d94-37da-4178-beab-bd5ddab2f076,EMP000812,Software Engineer,Analytics,Intern,Internship,Hybrid,New York,NY,USA,06/01/2026,06/12/2026,11/01/2026,12/31/2026,USD,101577.0,OPT,Career Fair,2025-10-25
813,13c1f2f5-a688-49e7-9466-84204cd4bfee,146598a8-63de-4803-bb26-89b928930d09,EMP000813,Product Analyst,Security,Mid,Full-time,On-site,Dallas,TX,USA,04/28/2025,05/07/2025,08/15/2025,12/31/2026,USD,99768.0,OPT,Handshake,2025-10-25
814,10b1b610-342c-492a-9f60-771804d26c46,843b8026-54f1-4367-9d23-42c63ab8e3ca,EMP000814,Cloud Engineer,Quality,Junior,Contract,Remote,Boston,MA,USA,03/30/2021,04/05/2021,08/13/2021,04/01/2023,USD,97379.0,OPT,Career Fair,2025-10-25
815,e3dd402d-847b-4a97-8e81-49e74cbea9cb,596e2722-05cb-43ec-bbf7-0f9a8dca1390,EMP000815,ML Engineer,Analytics,Junior,Internship,Remote,Bengaluru,NA,India,05/31/2021,06/03/2021,11/11/2021,01/21/2023,USD,86841.0,OPT,Direct Apply,2025-10-25
816,2290ccad-2a47-4411-9c24-b507fc59694e,bd247ce6-8e77-4c6a-a980-c6c537db9b9e,EMP000816,Business Analyst,Consulting,Intern,Internship,Hybrid,Bengaluru,NA,India,06/01/2023,06/04/2023,08/19/2023,10/14/2024,USD,115208.0,H1B,Career Fair,2025-10-25
817,b5b59d15-d018-4aaa-9edb-9b8df56f3640,e40defc8-3c15-4ef4-b71e-a7be5f944c89,EMP000817,Software Engineer,Engineering,Junior,Internship,Hybrid,St. Louis,MO,USA,08/29/2022,09/01/2022,11/22/2022,12/05/2023,USD,105186.0,PR,Direct Apply,2025-10-25
818,a0d81c2b-3ddc-4e52-a817-900688fb8b9c,94d0373d-1ad1-4e87-a91c-e723ded3c0fc,EMP000818,Software Engineer,Security,Mid,Internship,On-site,Dallas,TX,USA,10/13/2022,10/24/2022,05/14/2023,05/18/2024,USD,92631.0,OPT,Referral,2025-10-25
819,058d23f4-bc0d-40b3-a49c-50a3306aba2f,ae5ab519-1a38-4d07-9885-b014d426f7cb,EMP000819,Data Engineer,Consulting,Senior,Contract,On-site,Dallas,TX,USA,03/24/2024,04/05/2024,12/07/2024,06/27/2026,USD,87324.0,OPT,Direct Apply,2025-10-25
820,fcb1f7f4-1401-45f7-a732-7e027e52e843,6ec72172-cfe3-4300-8b49-9a1b755ed67d,EMP000820,Product Analyst,Security,Mid,Contract,Remote,Austin,TX,USA,05/21/2021,06/01/2021,12/02/2021,10/10/2023,USD,117902.0,OPT,Handshake,2025-10-25
821,66b55140-4c3c-4642-b8e7-41dd832f03e7,832e0d8b-23b6-42fa-8c68-eeca3aaef88d,EMP000821,Cloud Engineer,Product,Junior,Contract,Remote,Dallas,TX,USA,05/27/2026,06/10/2026,12/02/2026,12/31/2026,USD,101611.0,OPT,Handshake,2025-10-25
822,9f4a1ceb-85e0-437c-91f2-b980cb158cc6,70421d44-2e75-4d1b-8881-ee4f52bc05d7,EMP000822,Data Analyst,Engineering,Intern,Contract,Remote,New York,NY,USA,05/10/2023,05/11/2023,09/08/2023,05/22/2025,USD,102746.0,STEM OPT,Referral,2025-10-25
823,9030397f-242d-48f9-bdd9-ff60f1e3dccd,22188b92-afec-4603-86b8-9fe9a2c53abd,EMP000823,Security Analyst,Consulting,Intern,Contract,On-site,Chicago,IL,USA,05/19/2025,05/31/2025,11/20/2025,12/08/2026,USD,111036.0,STEM OPT,Handshake,2025-10-25
824,28f839d8-e94e-40d7-a76b-e3461435495d,f546675c-db74-47bd-a32a-10ee195dbd74,EMP000824,Product Analyst,Security,Mid,Full-time,Hybrid,Dallas,TX,USA,06/20/2024,07/02/2024,11/05/2024,03/03/2026,USD,93644.0,OPT,LinkedIn,2025-10-25
825,47272e61-7d6e-4193-8ec7-a2ae222b32a2,14f4f50b-bc44-4eb7-9c8c-c5ca86ad2698,EMP000825,QA Engineer,Analytics,Senior,Contract,On-site,New York,NY,USA,07/02/2024,07/05/2024,12/11/2024,07/03/2026,USD,85528.0,OPT,LinkedIn,2025-10-25
826,6c050463-2ea6-49db-977b-e1dedd90d4ff,bfdd629a-dd15-4ddf-a339-7b2fa3b80806,EMP000826,Cloud Engineer,Consulting,Junior,Internship,Hybrid,Bengaluru,NA,India,01/21/2025,02/01/2025,09/06/2025,10/20/2026,USD,95622.0,OPT,Direct Apply,2025-10-25
827,b2b1c8d8-8b12-48b0-9255-af05e9b57f90,426d8b6a-0457-4402-a6be-1c10d6f67005,EMP000827,Security Analyst,Consulting,Senior,Full-time,On-site,Boston,MA,USA,05/23/2024,05/25/2024,08/01/2024,06/08/2026,USD,106006.0,PR,Direct Apply,2025-10-25
828,0e9122cb-9f9d-4bd9-9443-5f6cd96301c5,4fb5395c-c978-4387-96ce-bfd551253b1c,EMP000828,Security Analyst,Consulting,Mid,Internship,On-site,Boston,MA,USA,10/06/2021,10/12/2021,05/11/2022,04/12/2024,USD,105764.0,OPT,LinkedIn,2025-10-25
829,943761eb-16ee-4dde-acf1-14e1b33e63db,e94929fa-07de-4bde-8796-f57e0f4f2d80,EMP000829,Cloud Engineer,Security,Senior,Contract,Hybrid,Austin,TX,USA,02/21/2024,02/28/2024,09/10/2024,01/11/2026,USD,109191.0,OPT,Direct Apply,2025-10-25
830,20d6b6b2-03d5-43f4-8aee-ccf5aba8dcf2,233aa837-da28-4b45-9e54-a5a38b928d06,EMP000830,ML Engineer,Consulting,Junior,Full-time,Remote,Boston,MA,USA,04/21/2023,04/21/2023,07/22/2023,10/15/2024,USD,122332.0,H1B,Direct Apply,2025-10-25
831,1c9203c8-f5c5-41ae-bd8a-c16fa7f2d46c,250cb68d-254a-41dc-8b60-049beea581fa,EMP000831,Cloud Engineer,Quality,Junior,Internship,Hybrid,Dallas,TX,USA,12/29/2021,01/06/2022,05/10/2022,04/06/2024,USD,96010.0,OPT,Career Fair,2025-10-25
832,26d34434-177d-46aa-bb07-30c0402f55ed,3747ad4d-d4fb-4d89-9f3e-a8ae7347e647,EMP000832,Security Analyst,Analytics,Senior,Full-time,Remote,Austin,TX,USA,05/06/2024,05/13/2024,08/23/2024,03/17/2026,USD,109790.0,OPT,Referral,2025-10-25
833,b00e2207-7133-480a-acf6-8d83f77d3533,7b341773-5558-4c54-a653-7a8472ef57be,EMP000833,QA Engineer,Consulting,Intern,Internship,Hybrid,Chicago,IL,USA,12/26/2020,01/07/2021,08/16/2021,07/21/2023,USD,113230.0,Citizen,Career Fair,2025-10-25
834,9e8e3246-4275-4a84-958e-7edf5fcd0e20,12fe3d88-0152-4127-a159-47da985a918e,EMP000834,Business Analyst,Consulting,Mid,Full-time,Hybrid,Austin,TX,USA,04/27/2021,04/30/2021,10/17/2021,09/16/2023,USD,113838.0,OPT,LinkedIn,2025-10-25
835,47a69ca2-5b8b-4c63-8cde-0a5e062402d7,a98a158a-b047-4f72-806d-677a150d5178,EMP000835,ML Engineer,Product,Senior,Contract,Remote,Seattle,WA,USA,09/22/2021,10/06/2021,06/10/2022,03/05/2024,USD,113715.0,Other,Handshake,2025-10-25
836,68943cfc-3061-4bcf-8bbc-7b07934f5868,4d671e9b-3548-4ebd-985e-4bbe09b602f1,EMP000836,Product Analyst,Security,Junior,Contract,On-site,Boston,MA,USA,09/06/2022,09/15/2022,10/17/2022,02/21/2024,USD,108425.0,Other,Career Fair,2025-10-25
837,07057641-a3ec-44d3-8b9d-24f6acfc79eb,207d52a1-86dc-41af-a777-6d2af785a50d,EMP000837,Software Engineer,Product,Senior,Internship,Hybrid,Austin,TX,USA,02/24/2023,02/28/2023,08/08/2023,08/18/2024,USD,110934.0,Other,Handshake,2025-10-25
838,f758e204-61b0-4681-afb2-789a5777d71f,b68f36c8-d0f1-461a-8712-05410eec90fb,EMP000838,Product Analyst,Security,Mid,Internship,On-site,New York,NY,USA,04/20/2021,05/02/2021,07/19/2021,07/29/2022,USD,96921.0,OPT,Referral,2025-10-25
839,0227bda6-cfbd-46e3-8c08-839e04c99dbd,aea8a4d8-b201-48a7-b0ed-964a2dd23e9a,EMP000839,ML Engineer,Security,Intern,Full-time,On-site,New York,NY,USA,04/28/2024,05/12/2024,11/16/2024,07/15/2026,USD,112950.0,STEM OPT,Referral,2025-10-25
840,e3b4e56b-e9b9-4c09-b574-9b995b1a52e4,97a61e4c-ea72-4d25-ad28-841676109c14,EMP000840,Cloud Engineer,Security,Intern,Contract,Hybrid,Hyderabad,NA,India,04/18/2024,05/01/2024,11/08/2024,12/30/2025,USD,111016.0,H1B,Handshake,2025-10-25
841,b0bf1620-2130-41f9-ace0-8a4dc7bf0aa8,75c81b20-a834-446a-939c-a8fd67313062,EMP000841,QA Engineer,Engineering,Mid,Full-time,Remote,Bengaluru,NA,India,01/15/2025,01/18/2025,07/19/2025,12/31/2026,USD,97617.0,Other,Career Fair,2025-10-25
842,9c915ada-8c54-456d-96a3-0ba50b9c5ada,e886fb1e-cd3c-4e43-a0bf-05cacce2ee16,EMP000842,Associate Consultant,Consulting,Mid,Contract,Hybrid,St. Louis,MO,USA,02/16/2022,03/01/2022,05/02/2022,12/20/2023,USD,114256.0,OPT,Direct Apply,2025-10-25
843,9de6a80e-9dd6-49d4-8628-22283dbce698,6d7651e8-6179-43de-b4b3-9b8a9761bb65,EMP000843,Cloud Engineer,Consulting,Senior,Internship,Hybrid,Austin,TX,USA,11/27/2022,12/09/2022,06/10/2023,11/26/2024,USD,117031.0,OPT,Referral,2025-10-25
844,a26b9d43-3300-4199-a4e2-2c5f6c63c8f2,12e7b4f6-ebd3-480b-8e7d-1610b7068b83,EMP000844,Security Analyst,Security,Mid,Full-time,On-site,Dallas,TX,USA,01/25/2025,01/29/2025,08/28/2025,12/31/2026,USD,91828.0,OPT,LinkedIn,2025-10-25
845,54ac2c28-db7b-4158-bad6-234b3deecd3c,b4647a50-9bec-4d55-b0cd-45bc2ad6956c,EMP000845,Product Analyst,Analytics,Intern,Full-time,Remote,Hyderabad,NA,India,06/01/2023,06/07/2023,09/01/2023,01/09/2025,USD,123223.0,STEM OPT,LinkedIn,2025-10-25
846,c280fb81-636c-47ab-aaaa-0670908be502,9236d673-a1b0-4b90-9515-4b0f1f50c917,EMP000846,Software Engineer,Security,Mid,Full-time,On-site,Chicago,IL,USA,08/14/2024,08/28/2024,11/15/2024,06/15/2026,USD,107754.0,Citizen,Career Fair,2025-10-25
847,4e7204c3-1aca-4bda-946e-0d47906bab21,d0b3a724-0ad5-4070-bc06-8c5db556ae51,EMP000847,Associate Consultant,Quality,Junior,Contract,Remote,New York,NY,USA,05/20/2023,05/22/2023,08/29/2023,09/10/2024,USD,100862.0,OPT,Career Fair,2025-10-25
848,63d98476-e09c-4e25-afc2-15803cbafe26,bfc2389a-d1cc-446b-8a07-c07a6c6c4789,EMP000848,Cloud Engineer,Analytics,Junior,Internship,Remote,Boston,MA,USA,10/22/2022,10/28/2022,05/22/2023,06/23/2024,USD,96457.0,OPT,LinkedIn,2025-10-25
849,0023823a-baa1-4e68-9ee9-1d3fc378bd59,465077f7-5bf7-4416-b417-3fc4b278636d,EMP000849,Data Engineer,Quality,Intern,Contract,Remote,New York,NY,USA,12/21/2022,12/26/2022,04/22/2023,05/02/2024,USD,108445.0,OPT,Handshake,2025-10-25
850,7a89ab39-7908-4c24-90ba-3b3bc048c1d1,4b3dd4f0-b652-4a2e-a4a1-8f2b7f1ca124,EMP000850,Business Analyst,Product,Junior,Contract,Remote,New York,NY,USA,01/11/2026,01/17/2026,08/28/2026,12/31/2026,USD,105755.0,STEM OPT,Direct Apply,2025-10-25
851,f0f5a5ac-75bb-40c8-954e-789e1e796c24,463afc77-9bbc-42e9-ab48-81a860275054,EMP000851,Cloud Engineer,Analytics,Mid,Internship,Hybrid,Seattle,WA,USA,01/09/2023,01/09/2023,06/06/2023,10/06/2024,USD,95236.0,OPT,Direct Apply,2025-10-25
852,be8623ee-bf57-4b6f-821e-c281bcbc6b96,63963c72-5f4c-4c16-98b8-0d16c225314f,EMP000852,Security Analyst,Product,Mid,Contract,On-site,Seattle,WA,USA,02/20/2021,03/02/2021,04/26/2021,04/23/2023,USD,106949.0,STEM OPT,Referral,2025-10-25
853,7737a92d-4e7c-4d61-88fa-eb6d0b99904d,f795e0cc-ee1b-4682-8081-2c6425aa1462,EMP000853,Security Analyst,Engineering,Junior,Internship,Remote,Austin,TX,USA,03/31/2025,04/08/2025,07/22/2025,12/31/2026,USD,119361.0,OPT,Direct Apply,2025-10-25
854,5287a0e3-7e62-45ee-8552-2b6332865903,f9350f39-3df1-4826-b6a9-eb633f74666e,EMP000854,Data Analyst,Security,Senior,Full-time,Remote,Austin,TX,USA,11/28/2024,12/11/2024,05/08/2025,12/10/2026,USD,105915.0,OPT,Direct Apply,2025-10-25
855,7b0dfd59-3166-4498-85c0-e4a5c22bb137,55cc684f-b682-41b1-b448-1f35b9f2bbe0,EMP000855,ML Engineer,Product,Mid,Contract,On-site,Seattle,WA,USA,01/11/2024,01/14/2024,05/24/2024,03/09/2026,USD,131327.0,PR,Referral,2025-10-25
856,418e4937-bace-4f55-a7f4-a52e1b50819b,2561feca-42b4-491b-9d53-03dfa22b228c,EMP000856,Security Analyst,Quality,Junior,Contract,On-site,Dallas,TX,USA,05/01/2021,05/07/2021,12/02/2021,08/26/2023,USD,131130.0,PR,Referral,2025-10-25
857,87182f2f-66e5-4843-befb-3684e2212a5d,b1fa96ba-6351-4643-b37d-689a44f6373f,EMP000857,Software Engineer,Consulting,Junior,Full-time,On-site,Seattle,WA,USA,09/02/2021,09/10/2021,10/17/2021,11/01/2022,USD,104021.0,Other,Career Fair,2025-10-25
858,8873c723-5727-474d-9199-dcf030e18e49,39e3fc2b-4134-4ca4-8094-219d1ea6b11a,EMP000858,Business Analyst,Quality,Junior,Full-time,Remote,St. Louis,MO,USA,12/08/2024,12/14/2024,06/11/2025,12/31/2026,USD,98808.0,OPT,Direct Apply,2025-10-25
859,20a6ae8c-524d-41fb-a3ff-a330edcf4251,b96e143f-baac-41fc-9e6a-ac408f7b8648,EMP000859,Associate Consultant,Quality,Senior,Contract,Hybrid,Chicago,IL,USA,05/13/2025,05/13/2025,08/28/2025,12/31/2026,USD,97989.0,STEM OPT,Referral,2025-10-25
860,9ad1cc80-e1e2-40ea-952b-9f71408dacea,132f6f02-c25a-4ac9-b1a7-e818a9513a58,EMP000860,Cloud Engineer,Quality,Mid,Full-time,Remote,Dallas,TX,USA,05/27/2024,06/08/2024,10/20/2024,06/05/2026,USD,103100.0,OPT,Direct Apply,2025-10-25
